Year,Month,Day,CS_DHI,CS_DNI,CS_GHI,DHI,DNI,GHI
2011,1,1,18.875,289.3333333333333,108.41666666666667,39.666666666666664,95.0,71.625
2011,1,2,16.833333333333332,292.6666666666667,107.45833333333333,16.833333333333332,292.6666666666667,107.45833333333333
2011,1,3,18.708333333333332,276.0416666666667,105.0,35.75,143.58333333333334,77.5
2011,1,4,18.875,286.875,108.70833333333333,18.875,286.875,108.70833333333333
2011,1,5,19.166666666666668,272.3333333333333,105.95833333333333,39.875,88.625,69.29166666666667
2011,1,6,23.0,257.2083333333333,106.16666666666667,40.041666666666664,28.625,49.541666666666664
2011,1,7,23.125,279.25,112.45833333333333,38.708333333333336,25.666666666666668,45.208333333333336
2011,1,8,21.541666666666668,304.0,118.16666666666667,21.541666666666668,304.0,118.16666666666667
2011,1,9,24.125,278.2916666666667,114.20833333333333,35.416666666666664,184.0,90.95833333333333
2011,1,10,28.5,249.45833333333334,110.75,44.541666666666664,41.208333333333336,58.291666666666664
2011,1,11,33.375,228.45833333333334,110.91666666666667,35.625,7.041666666666667,37.958333333333336
2011,1,12,24.833333333333332,276.4166666666667,116.58333333333333,39.916666666666664,130.5,80.5
2011,1,13,27.041666666666668,263.875,115.20833333333333,41.208333333333336,35.75,48.75
2011,1,14,25.333333333333332,268.875,116.04166666666667,45.125,32.916666666666664,55.625
2011,1,15,24.833333333333332,276.5833333333333,117.91666666666667,43.75,83.0,60.375
2011,1,16,23.166666666666668,286.7916666666667,120.125,41.083333333333336,116.29166666666667,67.66666666666667
2011,1,17,39.875,200.75,111.16666666666667,22.75,3.6666666666666665,23.875
2011,1,18,26.25,275.9583333333333,121.625,29.625,135.25,66.45833333333333
2011,1,19,25.083333333333332,289.4166666666667,125.91666666666667,32.333333333333336,169.95833333333334,99.75
2011,1,20,22.458333333333332,306.2083333333333,128.54166666666666,30.833333333333332,194.33333333333334,101.91666666666667
2011,1,21,26.666666666666668,289.2083333333333,127.70833333333333,44.5,121.70833333333333,78.66666666666667
2011,1,22,29.0,287.4583333333333,128.91666666666666,45.25,44.416666666666664,53.958333333333336
2011,1,23,25.666666666666668,311.4583333333333,132.375,46.416666666666664,29.708333333333332,55.333333333333336
2011,1,24,30.083333333333332,290.625,131.375,47.166666666666664,99.75,69.875
2011,1,25,24.875,320.5416666666667,135.70833333333334,46.583333333333336,62.5,60.541666666666664
2011,1,26,28.208333333333332,317.4166666666667,138.29166666666666,42.083333333333336,67.0,57.625
2011,1,27,28.875,298.9166666666667,134.41666666666666,44.958333333333336,18.458333333333332,48.958333333333336
2011,1,28,27.791666666666668,304.75,135.125,39.208333333333336,35.166666666666664,45.041666666666664
2011,1,29,33.666666666666664,282.4166666666667,135.16666666666666,39.833333333333336,36.0,45.5
2011,1,30,39.875,266.2916666666667,138.79166666666666,45.416666666666664,32.916666666666664,53.0
2011,1,31,40.0,256.6666666666667,137.70833333333334,38.666666666666664,17.791666666666668,43.25
2011,2,1,42.791666666666664,251.16666666666666,139.54166666666666,34.5,0.041666666666666664,34.541666666666664
2011,2,2,29.291666666666668,332.625,151.875,34.791666666666664,5.958333333333333,35.708333333333336
2011,2,3,24.416666666666668,371.4166666666667,158.25,24.916666666666668,338.8333333333333,155.58333333333334
2011,2,4,24.291666666666668,365.125,156.66666666666666,24.958333333333332,329.5,153.875
2011,2,5,27.625,336.7916666666667,152.58333333333334,38.5,114.125,75.375
2011,2,6,36.375,303.4583333333333,152.5,44.708333333333336,51.125,63.125
2011,2,7,32.458333333333336,334.8333333333333,159.79166666666666,45.291666666666664,6.666666666666667,46.416666666666664
2011,2,8,29.291666666666668,373.9583333333333,171.58333333333334,41.0,251.20833333333334,143.45833333333334
2011,2,9,28.416666666666668,377.125,172.0,59.25,148.625,111.04166666666667
2011,2,10,25.708333333333332,382.2083333333333,172.125,26.375,358.1666666666667,169.375
2011,2,11,30.416666666666668,347.8333333333333,166.75,53.208333333333336,29.541666666666668,58.583333333333336
2011,2,12,30.125,346.125,167.75,52.458333333333336,140.16666666666666,101.04166666666667
2011,2,13,26.958333333333332,361.625,171.875,37.583333333333336,224.16666666666666,134.04166666666666
2011,2,14,29.958333333333332,360.9583333333333,175.20833333333334,29.958333333333332,360.9583333333333,175.20833333333334
2011,2,15,47.416666666666664,290.9166666666667,166.33333333333334,63.875,61.375,80.0
2011,2,16,43.583333333333336,303.5416666666667,174.375,69.66666666666667,95.375,104.875
2011,2,17,37.791666666666664,297.0416666666667,165.0,56.458333333333336,107.95833333333333,96.83333333333333
2011,2,18,24.666666666666668,380.0833333333333,183.79166666666666,25.791666666666668,372.5,180.91666666666666
2011,2,19,27.958333333333332,365.625,182.25,41.125,277.9166666666667,160.375
2011,2,20,52.375,252.20833333333334,161.70833333333334,33.041666666666664,20.875,35.625
2011,2,21,50.666666666666664,269.625,172.54166666666666,30.166666666666668,0.0,30.166666666666668
2011,2,22,51.541666666666664,308.3333333333333,190.04166666666666,60.916666666666664,6.583333333333333,64.25
2011,2,23,49.625,284.7083333333333,177.91666666666666,57.583333333333336,90.20833333333333,83.91666666666667
2011,2,24,37.958333333333336,338.7916666666667,189.33333333333334,48.083333333333336,13.25,51.125
2011,2,25,43.125,350.4166666666667,199.33333333333334,52.416666666666664,211.66666666666666,156.375
2011,2,26,53.25,318.1666666666667,198.875,50.958333333333336,5.75,52.583333333333336
2011,2,27,54.0,314.0833333333333,198.25,50.166666666666664,12.291666666666666,51.875
2011,2,28,36.083333333333336,397.7916666666667,216.75,35.375,384.4583333333333,213.95833333333334
2011,3,1,35.0,397.6666666666667,213.33333333333334,48.0,337.875,189.91666666666666
2011,3,2,33.083333333333336,393.125,210.625,33.083333333333336,378.625,209.83333333333334
2011,3,3,49.708333333333336,316.625,198.04166666666666,87.45833333333333,98.75,129.41666666666666
2011,3,4,85.375,196.66666666666666,181.29166666666666,57.875,9.041666666666666,62.041666666666664
2011,3,5,42.916666666666664,345.7083333333333,211.95833333333334,58.25,35.541666666666664,72.0
2011,3,6,43.958333333333336,364.6666666666667,216.5,53.708333333333336,232.70833333333334,183.5
2011,3,7,49.375,333.0833333333333,211.91666666666666,74.04166666666667,6.708333333333333,77.95833333333333
2011,3,8,47.916666666666664,329.3333333333333,212.20833333333334,80.79166666666667,56.916666666666664,111.70833333333333
2011,3,9,54.041666666666664,311.2916666666667,211.75,26.541666666666668,0.0,26.541666666666668
2011,3,10,41.208333333333336,376.625,229.08333333333334,69.91666666666667,168.29166666666666,137.25
2011,3,11,42.083333333333336,372.875,225.20833333333334,71.83333333333333,211.79166666666666,178.20833333333334
2011,3,12,36.416666666666664,403.4583333333333,235.875,74.75,255.83333333333334,181.20833333333334
2011,3,13,41.708333333333336,399.5833333333333,237.83333333333334,83.875,139.66666666666666,143.91666666666666
2011,3,14,40.666666666666664,404.2916666666667,243.08333333333334,50.625,324.9166666666667,221.0
2011,3,15,36.291666666666664,420.7083333333333,244.58333333333334,37.416666666666664,384.375,239.04166666666666
2011,3,16,40.708333333333336,402.0,242.20833333333334,56.583333333333336,291.9583333333333,215.41666666666666
2011,3,17,55.416666666666664,329.7916666666667,226.41666666666666,76.875,36.583333333333336,88.375
2011,3,18,42.583333333333336,396.625,245.875,91.16666666666667,115.95833333333333,150.33333333333334
2011,3,19,47.708333333333336,394.9583333333333,249.625,60.166666666666664,302.0833333333333,219.45833333333334
2011,3,20,73.29166666666667,281.25,224.04166666666666,77.125,56.708333333333336,114.79166666666667
2011,3,21,54.541666666666664,340.7083333333333,242.75,95.04166666666667,130.375,174.04166666666666
2011,3,22,73.0,280.9583333333333,229.95833333333334,57.5,42.875,81.5
2011,3,23,50.958333333333336,366.7083333333333,252.45833333333334,60.625,30.541666666666668,67.58333333333333
2011,3,24,43.25,414.375,269.1666666666667,62.833333333333336,312.75,229.70833333333334
2011,3,25,56.041666666666664,372.2916666666667,258.625,73.95833333333333,35.833333333333336,82.95833333333333
2011,3,26,48.875,393.7916666666667,266.9583333333333,81.20833333333333,227.125,218.29166666666666
2011,3,27,46.208333333333336,416.6666666666667,272.75,47.375,385.7083333333333,267.7083333333333
2011,3,28,41.5,432.3333333333333,277.6666666666667,45.208333333333336,406.8333333333333,270.9166666666667
2011,3,29,54.125,397.9583333333333,272.0,87.25,198.45833333333334,205.54166666666666
2011,3,30,43.5,425.5833333333333,279.9583333333333,44.458333333333336,404.7916666666667,276.4583333333333
2011,3,31,50.791666666666664,411.625,278.5,59.583333333333336,341.0833333333333,262.1666666666667
2011,4,1,42.916666666666664,423.0416666666667,282.625,83.70833333333333,100.875,142.83333333333334
2011,4,2,40.791666666666664,451.0833333333333,285.9583333333333,44.666666666666664,381.5,265.125
2011,4,3,69.95833333333333,335.4166666666667,263.3333333333333,112.0,68.33333333333333,147.29166666666666
2011,4,4,50.333333333333336,405.5416666666667,286.6666666666667,92.45833333333333,73.08333333333333,138.375
2011,4,5,44.375,453.4583333333333,294.625,66.5,307.125,254.29166666666666
2011,4,6,54.208333333333336,405.1666666666667,282.5833333333333,106.125,169.66666666666666,209.0
2011,4,7,65.29166666666667,380.1666666666667,283.7083333333333,102.41666666666667,84.41666666666667,140.625
2011,4,8,64.625,370.0,285.4583333333333,67.66666666666667,6.166666666666667,69.25
2011,4,9,75.45833333333333,335.5,275.7916666666667,82.04166666666667,190.66666666666666,202.95833333333334
2011,4,10,90.375,305.2916666666667,266.0416666666667,104.54166666666667,237.08333333333334,231.95833333333334
